"year","mean_pdsi","summer","winter"
1980,-0.477225010345867,-0.54848063043158,-0.405969390260154
1981,-0.228596165716249,0.118412014533314,-0.575604345965813
1982,-1.1816958542881,-1.26959701968871,-1.09379468888749
1983,0.885925688613935,0.734247311827957,1.03760406539991
1984,0.74083610392161,0.2963712132371,1.18530099460612
1985,3.25912543224684,3.00347731624687,3.51477354824681
1986,2.48616774333831,2.17009660234693,2.80223888432969
1987,2.97557123042176,3.10549639122109,2.84564606962243
1988,1.55851250096445,1.5452464771444,1.57177852478449
1989,-0.971819127931036,-1.13544385525605,-0.808194400606022
1990,-0.505630808590928,-0.709920950557274,-0.301340666624582
1991,1.24257677510539,0.9478263858202,1.53732716439058
1992,4.68300464161213,5.62311165120047,3.74289763202379
1993,2.0930545735749,2.14239063190455,2.04371851524525
1994,-1.20720490253842,-1.12280527323612,-1.29160453184072
1995,-0.538075354740511,-0.572812269848284,-0.503338439632739
1996,-1.61281173501953,-1.89481416016104,-1.33080930987802
1997,0.130808843437213,0.465128148475475,-0.203510461601049
1998,0.22490907385196,0.147144277507733,0.302673870196186
1999,-0.123716204083637,-0.0473313448225066,-0.200101063344767
2000,-0.979154146413315,-0.975317057003976,-0.982991235822654
2001,-0.196056428816923,0.0256433200765948,-0.417756177710442
2002,-2.24489222411604,-2.30852899297884,-2.18125545525325
2003,-2.10697218189087,-1.77086316099573,-2.44308120278602
2004,-0.241525296523087,0.669631511759218,-1.15268210480539
2005,1.42874031346225,1.92031288358619,0.937167743338313
2006,-0.338018925923588,-1.44555911523543,0.769521263388255
2007,2.1575883712448,2.67422718122453,1.64094956126507
2008,-0.356161534064207,-0.823844086021504,0.111521017893091
2009,-1.50097920831317,-1.62415451465606,-1.37780390197027
2010,0.325048530886799,0.831775298276625,-0.181678236503027
2011,-3.06651827185433,-3.1875121520106,-2.94552439169806
2012,-2.52852263640763,-2.26358337015761,-2.79346190265766
2013,-2.78361466377684,-3.26237627043747,-2.3048530571162
2014,-0.970815366594421,-1.96830964305003,0.02667890986119
2015,1.77776727233831,2.02041734177837,1.53511720289825
2016,0.153981703596154,-0.116605906613639,0.424569313805947
2017,0.776388720549348,0.867504418912948,0.685273022185749
2018,-0.903070713128379,-1.21385857023617,-0.592282856020593
2019,-0.0793227559988493,-0.14694027102666,-0.0117052409710383
2020,0.539955994991899,1.47339728482349,-0.393485294839691
2021,-1.46198567185012,-1.39322703392743,-1.53074430977281
2022,-1.69362957785854,-1.77575287229342,-1.58413185194537
